fleet,yr,qtr,value
JPNLL_qt1_Area1,2021,1,118.186
JPNLL_qt1_Area1,2022,1,74.753
JPNLL_qt1_Area1,2023,1,128.802
JPNLL_qt1_Area1,2024,1,82.939
JPNLL_qt1_Area2,2021,1,86.779
JPNLL_qt1_Area2,2022,1,70.142
JPNLL_qt1_Area2,2023,1,70.727
JPNLL_qt1_Area2,2024,1,135.179
JPNLL_qt1_Area3,2021,1,13.53
JPNLL_qt1_Area3,2022,1,28.525
JPNLL_qt1_Area3,2023,1,9.595
JPNLL_qt1_Area3,2024,1,40.944
JPNLL_qt1_Area4,2021,1,0
JPNLL_qt1_Area4,2022,1,0
JPNLL_qt1_Area4,2023,1,0.099
JPNLL_qt1_Area4,2024,1,0.375
JPNLL_qt2_Area1,2021,2,168.828
JPNLL_qt2_Area1,2022,2,102.377
JPNLL_qt2_Area1,2023,2,175.215
JPNLL_qt2_Area1,2024,2,226.7
JPNLL_qt2_Area2,2021,2,0.307
JPNLL_qt2_Area2,2022,2,0.788
JPNLL_qt2_Area2,2023,2,0.286
JPNLL_qt2_Area2,2024,2,0.976
JPNLL_qt3_Area1,2021,3,70.497
JPNLL_qt3_Area1,2022,3,35.542
JPNLL_qt3_Area1,2023,3,26.044
JPNLL_qt3_Area1,2024,3,25.384
JPNLL_qt3_Area2,2021,3,1.116
JPNLL_qt3_Area2,2022,3,0.881
JPNLL_qt3_Area2,2023,3,1.487
JPNLL_qt3_Area2,2024,3,1.4
JPNLL_qt4_Area1,2021,4,88.118
JPNLL_qt4_Area1,2022,4,76.055
JPNLL_qt4_Area1,2023,4,105.305
JPNLL_qt4_Area2,2023,4,0.259
JPNLL_qt4_Area3,2021,4,1.122
JPNLL_qt4_Area3,2022,4,3.683
JPNLL_qt4_Area3,2023,4,4.566
other_ll,2021,1,33
other_ll,2021,2,33
other_ll,2021,3,33
other_ll,2021,4,33
other_ll,2022,1,34
other_ll,2022,2,34
other_ll,2022,3,34
other_ll,2022,4,34
other_ll,2023,1,34
other_ll,2023,2,34
other_ll,2023,3,34
other_ll,2023,4,34
other_ll,2024,1,34
other_ll,2024,2,34
other_ll,2024,3,34
other_ll,2024,4,34
JPNDF_qt14,2021,1,15.38
JPNDF_qt23,2021,2,6.48
JPNDF_qt23,2021,3,51.60
JPNDF_qt14,2021,4,21.54
JPNDF_qt14,2022,1,22.35
JPNDF_qt23,2022,2,9.41
JPNDF_qt23,2022,3,74.95
JPNDF_qt14,2022,4,31.29
JPNDF_qt14,2023,1,22.35
JPNDF_qt23,2023,2,9.41
JPNDF_qt23,2023,3,74.95
JPNDF_qt14,2023,4,31.29
JPNDF_qt14,2024,1,22.35
JPNDF_qt23,2024,2,9.41
JPNDF_qt23,2024,3,74.95
JPNDF_qt14,2024,4,31.29
others,2021,1,27.75
others,2021,2,27.75
others,2021,3,27.75
others,2021,4,27.75
others,2022,1,31.25
others,2022,2,31.25
others,2022,3,31.25
others,2022,4,31.25
others,2023,1,31.25
others,2023,2,31.25
others,2023,3,31.25
others,2023,4,31.25
others,2024,1,31.25
others,2024,2,31.25
others,2024,3,31.25
others,2024,4,31.25