yy,HBF,HK_set,val
1990,5-8,2000-2999,1
1990,5-8,3000-3999,2
1990,NA,NA,28
1991,5-8,2000-2999,18
1991,5-8,3000-3999,93
1992,5-8,1500-1999,1
1992,5-8,2000-2999,28
1992,5-8,3000-3999,114
1992,9-12,1000-1499,1
1993,13-19,1000-1499,3
1993,13-19,200-999,1
1993,13-19,2000-2999,5
1993,5-8,1000-1499,6
1993,5-8,200-999,17
1993,5-8,2000-2999,35
1993,5-8,3000-3999,103
1993,9-12,2000-2999,1
1993,9-12,3000-3999,6
1994,13-19,1000-1499,2
1994,13-19,200-999,1
1994,13-19,2000-2999,5
1994,13-19,3000-3999,4
1994,20-29,1000-1499,4
1994,20-29,1500-1999,1
1994,30-39,1500-1999,10
1994,30-39,200-999,1
1994,5-8,1000-1499,7
1994,5-8,200-999,26
1994,5-8,2000-2999,10
1994,5-8,3000-3999,49
1994,9-12,1500-1999,1
1994,9-12,2000-2999,3
1994,9-12,3000-3999,41
1994,NA,1000-1499,1
1994,NA,200-999,24
1995,13-19,1000-1499,19
1995,13-19,1500-1999,1
1995,13-19,2000-2999,5
1995,13-19,3000-3999,9
1995,20-29,1000-1499,13
1995,20-29,1500-1999,29
1995,20-29,200-999,1
1995,20-29,2000-2999,1
1995,30-39,1000-1499,8
1995,30-39,1500-1999,9
1995,5-8,1000-1499,11
1995,5-8,200-999,12
1995,5-8,2000-2999,9
1995,5-8,3000-3999,74
1995,9-12,1000-1499,9
1995,9-12,1500-1999,1
1995,9-12,200-999,4
1995,9-12,3000-3999,9
1995,9-12,4000+,1
1995,NA,1000-1499,5
1995,NA,200-999,35
1996,13-19,1000-1499,2
1996,13-19,1500-1999,1
1996,20-29,1000-1499,32
1996,20-29,1500-1999,34
1996,20-29,200-999,2
1996,30-39,1000-1499,5
1996,30-39,1500-1999,13
1996,30-39,200-999,1
1996,30-39,2000-2999,4
1996,40-49,200-999,1
1996,5-8,1000-1499,15
1996,5-8,1500-1999,1
1996,5-8,200-999,13
1996,5-8,2000-2999,13
1996,5-8,3000-3999,96
1996,9-12,1500-1999,1
1996,9-12,200-999,22
1996,9-12,2000-2999,16
1996,9-12,3000-3999,34
1996,NA,1000-1499,3
1996,NA,200-999,30
1996,NA,2000-2999,1
1997,13-19,1000-1499,1
1997,13-19,200-999,9
1997,13-19,3000-3999,5
1997,20-29,1000-1499,5
1997,20-29,1500-1999,19
1997,20-29,200-999,14
1997,20-29,2000-2999,5
1997,20-29,3000-3999,1
1997,30-39,1500-1999,13
1997,30-39,2000-2999,13
1997,40-49,1500-1999,8
1997,40-49,200-999,4
1997,40-49,2000-2999,13
1997,40-49,3000-3999,10
1997,5-8,1000-1499,5
1997,5-8,200-999,14
1997,5-8,2000-2999,3
1997,5-8,3000-3999,134
1997,9-12,1000-1499,2
1997,9-12,200-999,2
1997,9-12,3000-3999,13
1997,9-12,4000+,3
1997,NA,1000-1499,17
1997,NA,200-999,53
1998,13-19,1000-1499,1
1998,13-19,1500-1999,1
1998,13-19,200-999,16
1998,13-19,2000-2999,25
1998,13-19,3000-3999,5
1998,13-19,4000+,1
1998,20-29,1000-1499,15
1998,20-29,1500-1999,14
1998,20-29,200-999,5
1998,20-29,2000-2999,42
1998,30-39,1000-1499,2
1998,30-39,1500-1999,26
1998,30-39,2000-2999,8
1998,5-8,1000-1499,7
1998,5-8,1500-1999,1
1998,5-8,200-999,30
1998,5-8,2000-2999,10
1998,5-8,3000-3999,1
1998,9-12,1000-1499,1
1998,9-12,200-999,2
1998,9-12,2000-2999,15
1998,NA,1000-1499,16
1998,NA,200-999,34
1999,13-19,1500-1999,1
1999,13-19,200-999,13
1999,13-19,2000-2999,18
1999,13-19,3000-3999,21
1999,20-29,1000-1499,8
1999,20-29,1500-1999,19
1999,20-29,200-999,3
1999,20-29,2000-2999,15
1999,20-29,3000-3999,3
1999,30-39,1000-1499,3
1999,30-39,1500-1999,19
1999,30-39,2000-2999,21
1999,30-39,NA,1
1999,5-8,1000-1499,9
1999,5-8,1500-1999,12
1999,5-8,200-999,13
1999,5-8,2000-2999,6
1999,NA,1000-1499,13
1999,NA,200-999,26
2000,13-19,1000-1499,5
2000,13-19,1500-1999,6
2000,13-19,2000-2999,10
2000,20-29,1000-1499,5
2000,20-29,1500-1999,26
2000,20-29,200-999,4
2000,20-29,2000-2999,41
2000,20-29,3000-3999,3
2000,30-39,1000-1499,4
2000,30-39,1500-1999,24
2000,30-39,2000-2999,43
2000,30-39,3000-3999,3
2000,5-8,1000-1499,5
2000,5-8,1500-1999,2
2000,5-8,200-999,26
2000,5-8,2000-2999,1
2000,9-12,1000-1499,1
2000,9-12,2000-2999,4
2000,NA,1000-1499,15
2000,NA,200-999,36
2001,13-19,1000-1499,18
2001,13-19,1500-1999,6
2001,13-19,200-999,6
2001,13-19,2000-2999,17
2001,13-19,3000-3999,3
2001,20-29,1000-1499,35
2001,20-29,1500-1999,208
2001,20-29,200-999,4
2001,20-29,2000-2999,170
2001,20-29,3000-3999,4
2001,30-39,1000-1499,6
2001,30-39,1500-1999,65
2001,30-39,2000-2999,108
2001,5-8,1000-1499,4
2001,5-8,200-999,26
2001,9-12,1000-1499,1
2001,9-12,200-999,7
2001,9-12,2000-2999,1
2001,NA,1000-1499,7
2001,NA,200-999,7
2001,NA,NA,3
2002,13-19,1000-1499,7
2002,13-19,1500-1999,5
2002,13-19,200-999,4
2002,13-19,2000-2999,59
2002,13-19,3000-3999,1
2002,20-29,1000-1499,19
2002,20-29,1500-1999,232
2002,20-29,200-999,4
2002,20-29,2000-2999,206
2002,20-29,3000-3999,3
2002,30-39,1500-1999,61
2002,30-39,200-999,2
2002,30-39,2000-2999,121
2002,40-49,1000-1499,5
2002,40-49,1500-1999,10
2002,40-49,2000-2999,12
2002,40-49,3000-3999,1
2002,5-8,1000-1499,52
2002,5-8,200-999,69
2002,50-59,2000-2999,1
2002,60+,3000-3999,1
2002,9-12,1000-1499,1
2002,9-12,200-999,5
2002,NA,1000-1499,23
2002,NA,200-999,6
2002,NA,NA,7
2003,13-19,1000-1499,3
2003,13-19,1500-1999,7
2003,13-19,2000-2999,16
2003,20-29,1000-1499,7
2003,20-29,1500-1999,281
2003,20-29,2000-2999,279
2003,20-29,3000-3999,8
2003,30-39,1000-1499,5
2003,30-39,1500-1999,88
2003,30-39,2000-2999,201
2003,30-39,3000-3999,9
2003,40-49,1500-1999,5
2003,40-49,2000-2999,29
2003,40-49,3000-3999,4
2003,5-8,1000-1499,62
2003,5-8,200-999,70
2003,50-59,2000-2999,4
2003,9-12,1000-1499,2
2003,9-12,200-999,14
2003,9-12,2000-2999,1
2003,9-12,3000-3999,2
2003,9-12,4000+,9
2003,NA,1000-1499,3
2003,NA,200-999,13
2003,NA,2000-2999,25
2003,NA,3000-3999,4
2003,NA,NA,1
2004,13-19,1000-1499,1
2004,13-19,1500-1999,2
2004,13-19,2000-2999,2
2004,20-29,1000-1499,28
2004,20-29,1500-1999,314
2004,20-29,200-999,2
2004,20-29,2000-2999,353
2004,20-29,3000-3999,6
2004,30-39,1000-1499,9
2004,30-39,1500-1999,107
2004,30-39,2000-2999,148
2004,30-39,3000-3999,6
2004,40-49,1000-1499,2
2004,40-49,1500-1999,5
2004,40-49,2000-2999,18
2004,5-8,1000-1499,104
2004,5-8,1500-1999,3
2004,5-8,200-999,44
2004,60+,1000-1499,1
2004,9-12,1000-1499,16
2004,9-12,1500-1999,5
2004,9-12,200-999,13
2004,NA,1000-1499,6
2004,NA,200-999,15
2005,13-19,1000-1499,14
2005,13-19,1500-1999,6
2005,13-19,200-999,2
2005,13-19,2000-2999,44
2005,13-19,3000-3999,9
2005,20-29,1000-1499,8
2005,20-29,1500-1999,278
2005,20-29,2000-2999,404
2005,20-29,3000-3999,1
2005,30-39,1000-1499,2
2005,30-39,1500-1999,66
2005,30-39,2000-2999,118
2005,30-39,3000-3999,16
2005,30-39,4000+,1
2005,40-49,1000-1499,1
2005,40-49,1500-1999,1
2005,40-49,2000-2999,17
2005,40-49,3000-3999,1
2005,5-8,1000-1499,47
2005,5-8,1500-1999,2
2005,5-8,200-999,41
2005,50-59,1000-1499,1
2005,50-59,1500-1999,2
2005,9-12,1000-1499,10
2005,9-12,1500-1999,3
2005,9-12,200-999,13
2005,NA,1000-1499,34
2005,NA,200-999,192
2006,13-19,1000-1499,11
2006,13-19,1500-1999,3
2006,13-19,2000-2999,44
2006,13-19,3000-3999,7
2006,20-29,1000-1499,20
2006,20-29,1500-1999,324
2006,20-29,2000-2999,599
2006,20-29,3000-3999,7
2006,30-39,1000-1499,5
2006,30-39,1500-1999,82
2006,30-39,200-999,1
2006,30-39,2000-2999,151
2006,30-39,3000-3999,14
2006,40-49,1000-1499,1
2006,40-49,1500-1999,5
2006,40-49,200-999,1
2006,40-49,2000-2999,34
2006,40-49,3000-3999,24
2006,5-8,1000-1499,74
2006,5-8,1500-1999,2
2006,5-8,200-999,53
2006,5-8,2000-2999,1
2006,5-8,NA,1
2006,60+,1500-1999,1
2006,9-12,1000-1499,21
2006,9-12,1500-1999,4
2006,9-12,200-999,2
2006,9-12,3000-3999,1
2006,NA,1000-1499,20
2006,NA,200-999,67
2006,NA,NA,1
2007,13-19,1000-1499,8
2007,13-19,2000-2999,10
2007,13-19,3000-3999,3
2007,20-29,1000-1499,9
2007,20-29,1500-1999,222
2007,20-29,2000-2999,298
2007,20-29,3000-3999,2
2007,30-39,1000-1499,3
2007,30-39,1500-1999,34
2007,30-39,2000-2999,82
2007,30-39,3000-3999,18
2007,40-49,1000-1499,1
2007,40-49,1500-1999,8
2007,40-49,2000-2999,3
2007,5-8,1000-1499,48
2007,5-8,1500-1999,4
2007,5-8,200-999,57
2007,9-12,1000-1499,26
2007,9-12,1500-1999,2
2007,9-12,200-999,5
2007,NA,1000-1499,32
2007,NA,200-999,84
2008,13-19,1000-1499,40
2008,13-19,1500-1999,13
2008,13-19,200-999,6
2008,13-19,2000-2999,26
2008,13-19,3000-3999,2
2008,20-29,1000-1499,17
2008,20-29,1500-1999,195
2008,20-29,200-999,2
2008,20-29,2000-2999,628
2008,20-29,3000-3999,10
2008,30-39,1000-1499,8
2008,30-39,1500-1999,49
2008,30-39,2000-2999,133
2008,30-39,3000-3999,33
2008,40-49,1500-1999,1
2008,40-49,2000-2999,31
2008,40-49,3000-3999,4
2008,5-8,1000-1499,80
2008,5-8,1500-1999,5
2008,5-8,200-999,52
2008,60+,1000-1499,1
2008,9-12,1000-1499,52
2008,9-12,1500-1999,20
2008,9-12,200-999,8
2008,9-12,2000-2999,13
2008,NA,1000-1499,60
2008,NA,1500-1999,1
2008,NA,200-999,113
2009,13-19,1000-1499,22
2009,13-19,1500-1999,9
2009,13-19,200-999,6
2009,13-19,2000-2999,19
2009,13-19,3000-3999,3
2009,20-29,1000-1499,18
2009,20-29,1500-1999,107
2009,20-29,200-999,2
2009,20-29,2000-2999,398
2009,20-29,3000-3999,15
2009,30-39,1000-1499,11
2009,30-39,1500-1999,59
2009,30-39,2000-2999,79
2009,30-39,3000-3999,16
2009,40-49,1000-1499,1
2009,40-49,1500-1999,10
2009,40-49,2000-2999,52
2009,40-49,3000-3999,12
2009,5-8,1000-1499,85
2009,5-8,1500-1999,6
2009,5-8,200-999,71
2009,50-59,2000-2999,2
2009,9-12,1000-1499,29
2009,9-12,1500-1999,17
2009,9-12,200-999,9
2009,9-12,2000-2999,22
2009,9-12,NA,1
2009,NA,1000-1499,28
2009,NA,1500-1999,2
2009,NA,200-999,63
2009,NA,NA,20
2010,13-19,1000-1499,6
2010,13-19,1500-1999,4
2010,13-19,200-999,11
2010,13-19,2000-2999,29
2010,13-19,3000-3999,3
2010,13-19,4000+,3
2010,20-29,1000-1499,4
2010,20-29,1500-1999,57
2010,20-29,2000-2999,270
2010,20-29,3000-3999,14
2010,30-39,1000-1499,5
2010,30-39,1500-1999,77
2010,30-39,2000-2999,77
2010,30-39,3000-3999,11
2010,30-39,NA,1
2010,40-49,1000-1499,1
2010,40-49,1500-1999,21
2010,40-49,2000-2999,25
2010,40-49,3000-3999,7
2010,5-8,1000-1499,61
2010,5-8,1500-1999,5
2010,5-8,200-999,24
2010,50-59,2000-2999,1
2010,9-12,1000-1499,10
2010,9-12,1500-1999,9
2010,9-12,200-999,4
2010,NA,1000-1499,16
2010,NA,200-999,18
2011,13-19,1000-1499,15
2011,13-19,1500-1999,14
2011,13-19,2000-2999,118
2011,13-19,3000-3999,28
2011,13-19,4000+,7
2011,13-19,NA,1
2011,20-29,1000-1499,6
2011,20-29,1500-1999,123
2011,20-29,2000-2999,848
2011,20-29,3000-3999,49
2011,30-39,1000-1499,4
2011,30-39,1500-1999,40
2011,30-39,2000-2999,75
2011,30-39,3000-3999,4
2011,40-49,1000-1499,5
2011,40-49,1500-1999,15
2011,40-49,2000-2999,8
2011,40-49,3000-3999,8
2011,40-49,4000+,2
2011,5-8,1000-1499,115
2011,5-8,1500-1999,10
2011,5-8,200-999,30
2011,5-8,2000-2999,1
2011,50-59,1000-1499,1
2011,50-59,1500-1999,1
2011,50-59,2000-2999,4
2011,9-12,1000-1499,41
2011,9-12,1500-1999,28
2011,9-12,200-999,5
2011,9-12,2000-2999,2
2011,9-12,3000-3999,1
2011,NA,1000-1499,56
2011,NA,1500-1999,23
2011,NA,200-999,35
2012,13-19,1000-1499,10
2012,13-19,1500-1999,37
2012,13-19,200-999,2
2012,13-19,2000-2999,159
2012,13-19,3000-3999,33
2012,13-19,4000+,5
2012,20-29,1000-1499,9
2012,20-29,1500-1999,47
2012,20-29,2000-2999,612
2012,20-29,3000-3999,142
2012,20-29,4000+,6
2012,30-39,1000-1499,11
2012,30-39,1500-1999,36
2012,30-39,200-999,1
2012,30-39,2000-2999,67
2012,30-39,3000-3999,15
2012,30-39,4000+,2
2012,40-49,1500-1999,14
2012,40-49,200-999,1
2012,40-49,2000-2999,18
2012,40-49,3000-3999,3
2012,5-8,1000-1499,116
2012,5-8,1500-1999,9
2012,5-8,200-999,13
2012,5-8,2000-2999,66
2012,50-59,1500-1999,1
2012,50-59,2000-2999,5
2012,50-59,3000-3999,3
2012,9-12,1000-1499,15
2012,9-12,1500-1999,31
2012,9-12,200-999,6
2012,9-12,2000-2999,5
2012,9-12,3000-3999,5
2012,9-12,4000+,17
2012,NA,1000-1499,108
2012,NA,1500-1999,1
2012,NA,200-999,10
2012,NA,NA,10
2013,13-19,1000-1499,2
2013,13-19,1500-1999,15
2013,13-19,2000-2999,169
2013,13-19,3000-3999,34
2013,13-19,4000+,3
2013,20-29,1000-1499,4
2013,20-29,1500-1999,67
2013,20-29,200-999,1
2013,20-29,2000-2999,778
2013,20-29,3000-3999,381
2013,20-29,4000+,32
2013,30-39,1000-1499,4
2013,30-39,1500-1999,51
2013,30-39,2000-2999,117
2013,30-39,3000-3999,98
2013,30-39,4000+,13
2013,40-49,1000-1499,2
2013,40-49,1500-1999,5
2013,40-49,2000-2999,12
2013,40-49,3000-3999,18
2013,40-49,4000+,17
2013,5-8,1000-1499,84
2013,5-8,1500-1999,9
2013,5-8,200-999,12
2013,5-8,2000-2999,37
2013,50-59,2000-2999,2
2013,50-59,3000-3999,1
2013,9-12,1000-1499,9
2013,9-12,1500-1999,23
2013,9-12,200-999,7
2013,9-12,2000-2999,1
2013,9-12,3000-3999,12
2013,9-12,4000+,4
2013,NA,1000-1499,11
2013,NA,1500-1999,15
2013,NA,200-999,5
2014,13-19,1000-1499,1
2014,13-19,1500-1999,8
2014,13-19,200-999,2
2014,13-19,2000-2999,155
2014,13-19,3000-3999,34
2014,13-19,4000+,33
2014,13-19,NA,1
2014,20-29,1000-1499,26
2014,20-29,1500-1999,69
2014,20-29,200-999,1
2014,20-29,2000-2999,958
2014,20-29,3000-3999,330
2014,20-29,4000+,31
2014,20-29,NA,1
2014,30-39,1000-1499,10
2014,30-39,1500-1999,67
2014,30-39,200-999,1
2014,30-39,2000-2999,151
2014,30-39,3000-3999,96
2014,30-39,4000+,70
2014,30-39,NA,1
2014,40-49,1000-1499,2
2014,40-49,1500-1999,7
2014,40-49,200-999,1
2014,40-49,2000-2999,20
2014,40-49,3000-3999,64
2014,40-49,4000+,6
2014,40-49,NA,1
2014,5-8,1000-1499,124
2014,5-8,1500-1999,5
2014,5-8,200-999,15
2014,50-59,200-999,1
2014,9-12,1000-1499,6
2014,9-12,1500-1999,10
2014,9-12,200-999,6
2014,9-12,3000-3999,18
2014,NA,1000-1499,10
2014,NA,1500-1999,3
2014,NA,200-999,3
2014,NA,NA,2
2015,13-19,1000-1499,11
2015,13-19,1500-1999,89
2015,13-19,200-999,2
2015,13-19,2000-2999,192
2015,13-19,3000-3999,43
2015,13-19,4000+,8
2015,20-29,1000-1499,13
2015,20-29,1500-1999,83
2015,20-29,200-999,3
2015,20-29,2000-2999,916
2015,20-29,3000-3999,234
2015,20-29,4000+,4
2015,20-29,NA,7
2015,30-39,1000-1499,2
2015,30-39,1500-1999,29
2015,30-39,200-999,1
2015,30-39,2000-2999,59
2015,30-39,3000-3999,140
2015,30-39,4000+,78
2015,40-49,1000-1499,9
2015,40-49,1500-1999,2
2015,40-49,2000-2999,8
2015,40-49,3000-3999,38
2015,40-49,4000+,2
2015,5-8,1000-1499,80
2015,5-8,1500-1999,10
2015,5-8,200-999,17
2015,5-8,2000-2999,1
2015,50-59,4000+,1
2015,9-12,1000-1499,6
2015,9-12,1500-1999,9
2015,9-12,200-999,4
2015,9-12,2000-2999,7
2015,9-12,3000-3999,22
2015,9-12,4000+,6
2015,NA,1000-1499,7
2015,NA,1500-1999,18
2015,NA,200-999,1
2015,NA,2000-2999,1
2015,NA,3000-3999,7
2015,NA,NA,2
2016,13-19,1000-1499,1
2016,13-19,1500-1999,57
2016,13-19,200-999,16
2016,13-19,2000-2999,251
2016,13-19,3000-3999,105
2016,13-19,4000+,36
2016,20-29,1000-1499,4
2016,20-29,1500-1999,61
2016,20-29,200-999,5
2016,20-29,2000-2999,1296
2016,20-29,3000-3999,469
2016,20-29,4000+,14
2016,30-39,1000-1499,1
2016,30-39,1500-1999,38
2016,30-39,2000-2999,124
2016,30-39,3000-3999,88
2016,30-39,4000+,44
2016,40-49,1500-1999,1
2016,40-49,200-999,1
2016,40-49,2000-2999,13
2016,40-49,3000-3999,34
2016,40-49,4000+,2
2016,5-8,1000-1499,112
2016,5-8,1500-1999,14
2016,5-8,200-999,13
2016,5-8,3000-3999,1
2016,50-59,3000-3999,4
2016,50-59,4000+,2
2016,9-12,1000-1499,5
2016,9-12,1500-1999,4
2016,9-12,2000-2999,3
2016,9-12,3000-3999,44
2016,9-12,4000+,2
2016,NA,1000-1499,16
2016,NA,1500-1999,10
2016,NA,200-999,14
2016,NA,2000-2999,1
2016,NA,3000-3999,32
2016,NA,NA,6
2017,13-19,1000-1499,1
2017,13-19,1500-1999,31
2017,13-19,200-999,3
2017,13-19,2000-2999,270
2017,13-19,3000-3999,65
2017,13-19,4000+,13
2017,20-29,1000-1499,13
2017,20-29,1500-1999,96
2017,20-29,200-999,2
2017,20-29,2000-2999,1109
2017,20-29,3000-3999,420
2017,20-29,4000+,38
2017,30-39,1000-1499,2
2017,30-39,1500-1999,14
2017,30-39,200-999,1
2017,30-39,2000-2999,104
2017,30-39,3000-3999,105
2017,30-39,4000+,5
2017,40-49,1500-1999,1
2017,40-49,2000-2999,9
2017,40-49,3000-3999,20
2017,40-49,4000+,13
2017,5-8,1000-1499,161
2017,5-8,1500-1999,10
2017,5-8,200-999,54
2017,5-8,2000-2999,205
2017,5-8,3000-3999,11
2017,50-59,4000+,1
2017,9-12,1500-1999,11
2017,9-12,2000-2999,26
2017,9-12,3000-3999,15
2017,9-12,4000+,14
2017,NA,1000-1499,32
2017,NA,1500-1999,28
2017,NA,200-999,7
2017,NA,2000-2999,11
2017,NA,3000-3999,3
2017,NA,4000+,4
2018,13-19,1000-1499,7
2018,13-19,1500-1999,43
2018,13-19,200-999,4
2018,13-19,2000-2999,329
2018,13-19,3000-3999,82
2018,13-19,4000+,46
2018,20-29,1000-1499,8
2018,20-29,1500-1999,83
2018,20-29,2000-2999,1366
2018,20-29,3000-3999,612
2018,20-29,4000+,40
2018,30-39,1000-1499,1
2018,30-39,1500-1999,28
2018,30-39,2000-2999,84
2018,30-39,3000-3999,129
2018,30-39,4000+,2
2018,40-49,2000-2999,5
2018,40-49,3000-3999,17
2018,40-49,4000+,14
2018,5-8,1000-1499,52
2018,5-8,1500-1999,48
2018,5-8,200-999,13
2018,5-8,2000-2999,106
2018,5-8,3000-3999,4
2018,50-59,2000-2999,2
2018,50-59,3000-3999,2
2018,9-12,1000-1499,4
2018,9-12,1500-1999,19
2018,9-12,200-999,5
2018,9-12,2000-2999,65
2018,9-12,3000-3999,10
2018,9-12,4000+,5
2018,NA,1000-1499,13
2018,NA,1500-1999,22
2018,NA,200-999,1
2018,NA,2000-2999,6
2018,NA,3000-3999,27
2018,NA,NA,43
2019,13-19,1000-1499,8
2019,13-19,1500-1999,167
2019,13-19,200-999,10
2019,13-19,2000-2999,631
2019,13-19,3000-3999,99
2019,13-19,4000+,31
2019,20-29,1000-1499,3
2019,20-29,1500-1999,127
2019,20-29,200-999,1
2019,20-29,2000-2999,1471
2019,20-29,3000-3999,1019
2019,20-29,4000+,169
2019,20-29,NA,1
2019,30-39,1000-1499,8
2019,30-39,1500-1999,27
2019,30-39,2000-2999,85
2019,30-39,3000-3999,179
2019,30-39,4000+,18
2019,40-49,2000-2999,10
2019,40-49,3000-3999,12
2019,40-49,4000+,2
2019,5-8,1000-1499,18
2019,5-8,1500-1999,32
2019,5-8,200-999,11
2019,5-8,2000-2999,15
2019,9-12,1000-1499,2
2019,9-12,1500-1999,14
2019,9-12,200-999,6
2019,9-12,2000-2999,10
2019,9-12,3000-3999,25
2019,9-12,4000+,13
2019,NA,1000-1499,8
2019,NA,1500-1999,3
2019,NA,2000-2999,33
2019,NA,3000-3999,20
2019,NA,NA,12
2020,13-19,1000-1499,3
2020,13-19,1500-1999,10
2020,13-19,200-999,14
2020,13-19,2000-2999,103
2020,13-19,3000-3999,32
2020,13-19,4000+,12
2020,20-29,1500-1999,24
2020,20-29,2000-2999,1016
2020,20-29,3000-3999,718
2020,20-29,4000+,164
2020,30-39,1000-1499,2
2020,30-39,1500-1999,20
2020,30-39,200-999,1
2020,30-39,2000-2999,101
2020,30-39,3000-3999,116
2020,30-39,4000+,28
2020,40-49,2000-2999,6
2020,40-49,3000-3999,2
2020,5-8,1000-1499,24
2020,5-8,1500-1999,37
2020,5-8,200-999,6
2020,5-8,2000-2999,12
2020,50-59,2000-2999,13
2020,9-12,1000-1499,8
2020,9-12,1500-1999,5
2020,9-12,200-999,2
2020,9-12,2000-2999,5
2020,9-12,3000-3999,5
2020,NA,1000-1499,32
2020,NA,1500-1999,33
2020,NA,200-999,1
2020,NA,2000-2999,46
2021,13-19,1000-1499,25
2021,13-19,1500-1999,19
2021,13-19,200-999,1
2021,13-19,2000-2999,165
2021,13-19,3000-3999,12
2021,13-19,4000+,5
2021,20-29,1000-1499,19
2021,20-29,1500-1999,12
2021,20-29,200-999,1
2021,20-29,2000-2999,739
2021,20-29,3000-3999,758
2021,20-29,4000+,108
2021,30-39,1000-1499,3
2021,30-39,1500-1999,29
2021,30-39,200-999,1
2021,30-39,2000-2999,113
2021,30-39,3000-3999,85
2021,30-39,4000+,4
2021,40-49,1500-1999,1
2021,40-49,2000-2999,5
2021,40-49,3000-3999,2
2021,5-8,1000-1499,119
2021,5-8,1500-1999,37
2021,5-8,200-999,24
2021,5-8,2000-2999,40
2021,9-12,1000-1499,13
2021,9-12,1500-1999,23
2021,9-12,200-999,7
2021,9-12,3000-3999,31
2021,9-12,4000+,16
2021,NA,1000-1499,11
2021,NA,1500-1999,19
2021,NA,200-999,1
2021,NA,NA,1
