,Year,SpawnBio,SpawnBio.1,SpawnBio.2,SpawnBio.3,SpawnBio.4,SpawnBio.5,SpawnBio.6,SpawnBio.7,SpawnBio.8,SpawnBio.9,SpawnBio.10,SpawnBio.11,SpawnBio.12,SpawnBio.13,SpawnBio.14,SpawnBio.15,SpawnBio.16,SpawnBio.17,SpawnBio.18,SpawnBio.19,SpawnBio.20,SpawnBio.21,SpawnBio.22,SpawnBio.23,SpawnBio.24,SpawnBio.25,SpawnBio.26,SpawnBio.27,SpawnBio.28,SpawnBio.29,SpawnBio.30,SpawnBio.31,SpawnBio.32,SpawnBio.33,SpawnBio.34,SpawnBio.35,SpawnBio.36,SpawnBio.37,SpawnBio.38,SpawnBio.39,SpawnBio.40,SpawnBio.41,SpawnBio.42,SpawnBio.43,SpawnBio.44,SpawnBio.45,SpawnBio.46,SpawnBio.47,SpawnBio.48,SpawnBio.49,SpawnBio.50,SpawnBio.51,SpawnBio.52,SpawnBio.53,SpawnBio.54,SpawnBio.55,SpawnBio.56,SpawnBio.57,SpawnBio.58,SpawnBio.59,SpawnBio.60,SpawnBio.61,SpawnBio.62,SpawnBio.63,SpawnBio.64,SpawnBio.65,SpawnBio.66,SpawnBio.67,SpawnBio.68,SpawnBio.69,SpawnBio.70,SpawnBio.71,SpawnBio.72,SpawnBio.73,SpawnBio.74,SpawnBio.75,SpawnBio.76,SpawnBio.77,SpawnBio.78,SpawnBio.79,SpawnBio.80,SpawnBio.81,SpawnBio.82,SpawnBio.83,SpawnBio.84,SpawnBio.85,SpawnBio.86,SpawnBio.87,SpawnBio.88,SpawnBio.89,SpawnBio.90,SpawnBio.91,SpawnBio.92,SpawnBio.93,SpawnBio.94,SpawnBio.95,SpawnBio.96,SpawnBio.97,SpawnBio.98,SpawnBio.99,,
1,1975,21212.6,20103.2,19039.4,22854.5,21685,21479.8,19504.9,19574.7,20564,20398.5,19890.9,19189.6,18515.4,20455.5,20164.9,23329.3,22678.8,19840.3,20207.3,19733.2,21923.6,18768.5,19755.8,20222.5,20955.7,20057.4,21268,19294.4,21485.6,21684.4,20386.8,22026.9,21475.4,20554.4,21885.1,20148.8,21983.5,22415.2,19529.8,20195.9,20716.4,20879.6,22570.3,21558.3,22380,19973.1,20337.1,22692.9,20099.2,21035.6,22863.6,20524.9,20590.7,20810.6,20057.3,21103.8,18757.5,20160.5,20906.1,18232.8,19260.3,20862.5,21989.9,20541.8,19984.4,21731.2,21003.3,20178.2,22207,20327.3,20320.2,21159.3,20696.9,19818.7,19470.5,19985.6,19785,20255.1,21902.2,20597.4,19765.4,19960.2,20345.1,19109.4,20034,20624.7,20171,20919.5,18992.5,20336.6,19589.8,22066.8,21018.8,20008,20148.9,19389.6,20169.2,20172.3,19552.4,18806.3,20559.471,1067.844241
2,1976,2015.73,2056.64,2975.6,1511.15,1783.74,1988.31,3259.99,2898.12,10992.2,1850.34,1784.87,2313.46,1938.5,4236.84,6711.4,1526.24,2441.33,7576,2296.67,3889.43,3608.74,8025.66,3987.44,2318.4,2234.9,4605.24,2899.93,2414.74,2268.65,3699.84,1975.45,1704.43,638.957,4168.93,1504.26,3029.78,1546.08,2483.11,3249.67,1351.03,5401.12,1839.48,2343.79,1961.25,1418.73,3640.03,2260.99,6471.92,2675.51,3318.7,1444.57,1859.8,3146.91,3253.29,3460.08,2688.07,4074.58,3074.28,1388.87,1791.26,2989.58,2987.3,2076.04,2787.45,3868.38,2911.06,2633.94,1986.3,3351.61,5975.78,2691.46,4181.28,4762.31,3959.06,3373.22,1919.27,2061.15,5916.04,3870.89,2006.74,4908.04,2147.61,5921.29,5544.5,5978,1692.35,4717.26,4220.32,1948.93,3115.62,4744.93,3442.38,1899.31,2808.07,2164.28,3068.9,2439.1,2647.36,3344.87,4343.14,3186.80147,1641.072072
3,1977,4255.38,3980.9,5031.51,2979.05,3889.02,4065.81,5388.79,5255.95,11914.7,3689.56,3555.81,4350.45,3544.89,6376.43,9021.99,3900.12,5174.66,9549.44,4519.25,5839.88,5955.21,9155.23,6218.71,4500.8,4122.31,6956.66,4996.08,4594.96,4285,6312.65,3947.64,3561.31,1649.42,6625.46,3510.84,5096.12,3655.27,5482.85,5354.84,2996.34,7681.34,4098.45,4782.71,4133.83,3758.19,6010.81,4323.61,8725.83,4786.12,6073.91,3264.53,3671.76,5998.84,5417.04,5577.94,4904.91,6171.57,5705.3,2902.01,3270.28,5096.24,4940.73,4752.95,4903.62,6001.54,5494.39,5011.33,3824.31,5533.69,7958.17,4869.6,6629.97,7094.89,6312.13,5256.1,3803.1,3710.84,7553.96,6987.81,4170.79,7302.04,4201.39,8696.5,7214.04,7896.25,3736.37,7072.24,6880.13,3672.65,5309.3,6956.09,6102.51,3718.04,4770.35,3904.61,5454.07,4428.45,4903.89,5495.84,6098.73,5302.3992,1674.952133
4,1978,5372.88,3125.4,5033.5,3730.96,4418.87,3521.93,5521.18,4578.91,9910.17,3561.58,2981.15,5391.27,3286.58,5461.69,9053.77,3374.34,4557.31,9393.93,4542.16,4420.65,4543.94,8158.24,5926.98,4046.92,3426.8,5943.84,4144.55,5161.67,4075.1,5648.61,3666.02,3509.59,3051.1,6597.04,4453.08,4491.88,3549.07,4916.87,4209.75,4087.81,6231.89,4805.07,4301.06,3848.41,3741.5,5744.8,4082.52,6552.14,4079.35,7042.39,3663.87,3365.29,6161.69,4539.03,4552.72,3835.34,5386.49,6213.93,3371.79,2932.79,5215.19,3555.36,5412.38,4283.41,5041.44,5045.76,4411.5,2983.25,4650.5,6099.33,4544.75,6905.49,5986.71,6602.48,4786.37,4515.1,2541.51,6278.87,5754.24,4359.87,7554.83,4698.62,9152.02,5772.72,6369.32,4055,6579.42,6174.34,3517.33,4619.09,7154.99,6156.06,2727.49,3778.27,2854.24,5382.54,3891.56,4883.58,4667.56,4942.83,4932.0448,1488.166933
5,1979,4460.37,1832.91,4296,3160.82,2909.64,3025.88,4351.94,2881.31,6781.66,2942.63,2037.2,5126.86,3374.8,4177.63,7182.56,2323.02,2432.9,7612.52,3109.69,3337.36,2949.02,7107.58,4521.47,2622.49,3976.76,4036.41,4562.11,4206.77,4109.19,4335.87,3111.8,3980.7,1905.34,6449.95,3057.39,4052.03,2740.36,3137.86,2373.02,2675.78,3212.31,3053.78,3419.88,3695.41,2379.82,4391.18,4284.6,3744.75,2869.89,5299.76,3755.88,2791.46,4101.87,3963.25,3780.89,2455.34,3668.76,4023.64,3418.4,2939.5,5793.23,3223.87,3316.79,3887.07,4125.72,3857.32,2719.8,2323.46,4344.92,4175.63,3219.94,5300.27,4439.34,4839.08,4458.25,4073.29,2649.91,6516.28,2621.02,3117.4,6739.27,4130.39,6444.42,4485.42,4815.13,2496.84,4919,4110.53,2725.57,3382.59,6487.5,4972.27,2840.91,3698.91,3331.88,3424.63,3470.84,3617.13,2868.82,3941.46,3864.2607,1234.167021
6,1980,3892.44,2829.76,3859.61,2584.68,3270.38,3767.29,3618.98,4510.92,6200.93,2726.49,2559.46,4402.46,4467.77,3642.83,6385.39,2105.97,3068.53,6403.28,3426.92,4030.58,2973.54,6808.7,4187.88,2759.65,3974.85,5002.69,5504.07,5318.86,3500.89,4577.08,3678.79,4021.97,2231.65,5950.05,3086.71,4101.43,3051.62,4722.82,3425.96,1962.05,3380.01,3975.73,3442.05,3027.14,2801.74,4148.22,4791.96,3049.86,3483.56,4762.83,3599.09,2814.72,4465.28,4274.42,4760.96,2748.79,4558.79,3472.95,2780.1,2748.48,5211.09,3354.67,3579.45,4007.51,4483.39,4792.01,3122.63,3180.46,4116.57,5108.53,3458.25,4370.89,4417.48,4171.01,3603.59,3547.39,2509.11,6356.52,2977.73,4089.82,6326.33,3938.35,4450.85,4083.93,5807.33,3493.05,4960.05,4418.88,2599.36,3672.44,6546.51,4732.22,3142.93,4924.1,4002.07,3592.7,3255.16,3834.69,3034.64,4188.56,3971.4486,1057.439776
7,1981,3149.69,2194.59,3353.5,2551.48,3403.02,3070.42,3255.1,4230.64,5114.19,1920.73,2444.42,3298.99,3079.43,3292.71,4840,2863.55,3313.44,4942.3,3423.13,3002.63,3163.41,5688.44,4543.74,2438.08,2536.88,4513.08,5150.82,5000.93,2621.78,4056.18,3069.97,3434.26,2294.22,4300.07,2778.15,3472.46,1760.99,3672.63,2615.88,2221.74,3237.22,3336,2662.73,1849.95,2343.62,2975.44,3182.06,2241.08,3467.55,3756.24,3078.85,2503.38,3902.29,3171.29,3839.3,2136.81,3695.84,3136.9,2240.15,3135.71,3316.15,2357.53,3754.37,3518.04,3361.96,3564.79,2176.41,2319.55,3147.39,5017.29,3282.8,3962.48,3665.85,4489.73,2856.12,2381.75,1911.99,4162.31,2382.79,3213.17,5120.31,3484.93,3269.7,3136.64,4025.64,3166.32,4183.9,4019.27,1921,2902.04,6957.89,3721.72,2555.48,3376.9,3269.55,3324.29,3188.39,3407.3,2893.31,3315.01,3320.5214,907.145354
8,1982,3411.91,931.483,2214.39,2722.89,2507.99,3007.18,2702.21,2637.31,4568.11,1235.58,1742.95,2199.28,2222.01,2996.03,3035.35,3089.9,2204.78,4634.95,2639.66,2286.79,2530.96,4670.73,3457.77,1383.93,1359.61,3136.97,3710.72,3053.31,1763.65,3020.65,2261.24,2488.67,1061.61,3773.66,1515.51,2593.73,1707.14,2029.56,1866.25,1929.22,2041.7,1680.41,1476.98,2139.23,2114.76,2096.96,1508.53,2233.47,2201.83,2893.38,1847.19,1712.9,3998.1,2592.69,2887.08,1943.49,2210.87,2633.24,1425.46,2060.62,2011.08,2489.01,3505.14,2482.16,2303.55,2413.18,1068.54,2019.16,2110.68,3630.02,3311.05,2930.51,2391.61,3734.5,1583.54,1729.61,1692.07,3941.47,2638.37,1732.22,2886.4,2605.78,3444.93,2483.06,2343.6,2495.91,3052.67,2785.36,1159.38,3009.37,5574.19,3390.37,1576.12,1883.18,2113.83,2289.28,2551.14,3110.44,1633.05,2673.85,2487.83913,845.5714009
9,1983,4817.53,2158.16,2892.69,3049.37,2843.81,3555.37,2977.19,3061.28,5350.34,2166.66,2147.23,3031.54,3419.81,4581.7,4189.8,2866.4,2749.62,6802.47,2853.21,3674.37,2697.45,4953.71,4157.84,2112.7,2008.93,3573.58,3592.89,3304.27,2716.69,3988.16,3076.71,2952.68,2244.31,4035.36,2490.05,4023.66,1968.6,3142.82,2645.05,2273.97,2613.41,2041.04,2073.33,2670.98,2645.2,2697.79,2792.36,3035.68,2723.19,3865.31,2193.42,2390.2,4642.55,3075.97,3622.95,2239.38,3171.23,3822,2099.89,2609.34,3609.09,3235.89,3952,3412.49,3529.82,3844.28,2002.14,2499.64,2748.1,4012.58,4508.29,4797.55,3611.08,3687.11,2377.14,3014.56,2589.15,5154.03,3134.67,2815.87,3070.9,3005.73,4593.41,3991.98,3972.59,2951.81,4509.45,2876.37,2074.38,4679.85,5932.13,5011.3,2050.35,2484.51,2457.01,3937.07,3105.24,4494.56,2426.29,2837.11,3271.7072,956.2633243
10,1984,5217.14,2913.87,5755.87,2831.7,3051.38,3841.25,4588.91,4536.02,5414.46,3497.31,2461.68,4628.44,4388.49,4769.43,5340.26,2562.15,3778.49,7299.82,3853.32,3683.12,2676.79,5631.42,4482.47,2958.11,2919.25,4267.5,3513.5,4665.31,3250.43,5227.96,3937.31,3448.19,3189.94,4444.86,4367.27,5056.38,2114.06,4134.43,3779.99,3263.32,4154.69,2776.61,3801.36,2987.5,3817.63,4068.01,4594.81,4387.21,3920.52,3707.11,3172.1,2808.81,5127.35,3130.14,4572.59,2602.83,4527.07,4925.28,2441.59,3700.69,4280.65,3487.09,4154.64,5323.47,5211.68,4678.75,2686.34,2967.58,3348.27,4200.03,4894.46,5639.73,5234.16,4298.08,4708.42,3995.43,2829.94,6007.29,3455.37,4090.78,4048.1,4457.59,7207.96,5698.55,6003.53,3530.85,5490.1,3930.98,3523.91,5825.14,6956.47,5747.78,2765.73,2543.42,3378.37,4458.98,3878.82,5445.76,3101.41,3440.55,4138.9166,1093.034192
11,1985,4785,3285.89,4632.66,2220.18,4235.51,3522.29,5643.19,4005.57,4558.03,3126.9,3094.67,4459.21,4941.37,4078.01,5522.85,2458.92,3850.91,5283.98,3861.16,2377.68,3278.7,4708.5,2583.08,2613.52,3072.72,4676.02,3892.85,5055.85,3059.81,4058.57,3103.21,2780.24,2506.15,5354.71,3375.92,3991.27,2883.52,2975.75,3417.09,2941.57,4873.12,3463,3401.84,2319,3153.07,4590.68,4475.38,4567,3672.67,3127.51,2496.68,1980.46,4276.91,3458.66,5278.65,2430.38,3215.36,4200.43,1557.16,3071.19,2990.62,3877.56,3503.78,5455.53,4353.2,4466.58,3887.98,3075.3,3555.82,3273.6,3503.64,4653.98,4942.85,6245.89,4188.83,3362.77,2718.19,4804.71,2655.04,4402.05,3888.24,4690.77,8016.04,5842.33,4432.84,3291.56,4496.11,4564.23,2652.8,4978.13,6582.23,4172.98,2177.93,2675.66,3457.56,3356.1,3607.08,4343.09,2978.89,4084.38,3840.8905,1079.836936
12,1986,5254.02,2382.83,3150.04,2914.53,3301.37,2399.37,3640.22,3017.87,4094.26,1911.1,2431.69,3230.61,3280.24,4080.44,3763.79,1942.54,3131.15,3992.39,3895.9,2431.22,3370.15,3686.35,1801.26,2060.29,1918.86,3355.7,3337.33,3482.54,3084.2,2688.08,2402.22,2380.37,2193.69,4589.04,2320.2,3056.9,1598.85,2702.97,2614.61,2367.2,3925.22,2933.17,1980.32,2691.12,2617.83,3862,2969.75,4126.79,3519.84,2642.28,2463.96,1554.79,3831.64,3204.26,3166.73,1685.92,2332.66,3311.57,1688.47,2053.35,2684.77,3425.27,3469.86,3990.03,3906.77,3528.29,2956.48,1908.28,3513.22,3370.06,2420.93,3579.83,3461.27,5725.8,2893.27,1987.87,1973.4,3521.4,2015.99,3771.25,3257.98,2945.87,5536.82,4692.14,3044.39,3241.01,4490.17,3405.45,2170.41,4048.2,3981.7,3183.12,2176.57,2971.74,2650.64,2557.2,2163.19,3580.53,1993.66,4260.1,3062.7299,862.6671263
13,1987,5075.99,1907.78,3629.18,4157.88,2180.63,2933.89,3244.54,3058.8,4468.25,1949.42,1816.3,3857.52,3253.71,4120.12,2806.39,3329.09,2966.54,5246.08,3618.64,3450.69,2829.89,3554.52,2798.02,3159.89,2380.58,3755.69,2821.35,2587.06,2307.49,3136.34,2821.11,3152.09,1962.23,5326.56,2923.2,3221.28,1574.63,3304.15,2747.42,3268.27,3982.26,4222.62,2109.45,2585.84,3248.78,4129.14,2403.74,3228.84,3131.19,2831.84,2789.52,1951.44,4788.65,3367.4,2778.68,1488.41,3714.87,3898.21,1848.82,3332.6,3308.25,3329.53,3852.54,4008.01,4312.64,3073.94,2082.67,1950.92,3631.71,5295.97,2824.12,3473.39,3194.08,5295.88,2732.23,2469.03,1654.23,5451.35,2618.51,3968.83,4188.25,2333.08,4157.86,4463.09,3725.58,4012.5,4834.07,4215.12,3019.87,4942.06,3808.3,3268.58,3125.44,3271.38,2607.87,2410.48,2324.77,3179.79,2299.29,3611.6,3268.6232,916.9215818
14,1988,3693.44,1791.77,2849.69,2571.87,1734.27,1626.1,4022.51,1897.18,3558.53,1617.3,1569.36,2860.43,4019.12,3697.82,2423.98,2841.24,1930.98,5484.12,2502.6,2628.51,1827.6,2393.98,2153.6,1757.45,2403.9,3526.35,3342.88,2225.29,2114.58,3425.45,2279.55,3080.09,1933.76,5711.12,2689.28,3246.14,1293.05,2208.63,1990.63,2006.78,3457.36,2890.66,1922.77,2088.53,2450.11,3371.54,2488.06,2253.68,1850.9,3032.3,3197.14,1328.61,3054.9,2140.53,4072.85,1997.08,3259.25,2904.64,1522.67,1976.09,2665.7,2928.9,3006.3,2765.76,2999.82,2589.05,1729.21,2121.54,2877.82,3755.9,2578.02,2635.18,3529.16,4082.2,2335.15,3390.09,1714.04,4965.68,2586.04,2372.05,4154.12,2627.68,3669.5,4194.78,3361.84,3536.15,2906.11,4346.49,2410.59,4492.74,5169.88,3338.56,2743.25,3642.7,3127.52,2080.39,3088.62,2297.38,1506.83,2724.99,2812.3833,910.0971993
15,1989,3012.57,1611.24,2668.92,2633.54,2805.84,1852.11,3624.08,2033.57,4363.28,2020.63,1789.68,2270.57,2931.74,3485.11,3666.47,1969.05,2153.25,4837.94,3511.28,2479.98,1711.83,3020.92,3202.18,1585.21,2201.54,2868.14,4148.27,2968.6,2890.26,2857.99,2195.57,2278.76,1836.06,5458.79,2829.07,3079.53,1452.32,3593.84,2634.55,1874.59,2513.33,2147.82,2644.27,2423.76,2112.03,2996.68,3310.21,3137.19,2200.81,2724.36,2472.87,2131.74,2955.64,2632.45,4012.17,1454.51,3802.03,4135.4,1530.63,1970.61,2898.11,2542.36,2660.26,2385.78,3687.18,3530.43,2287.23,2255.74,3248.99,3377.42,2091.32,3090.77,3159.12,3553.15,3061.09,2417.08,1428.47,4557.94,2116.12,2203.48,3893.82,3149.67,4052.84,4280.15,3981.49,2896.82,2845.9,3748.88,2410.23,3945.92,3932.74,3709.34,1818.48,3425.28,2284.09,3606.94,2602.21,3109.64,1718.5,3294.62,2849.7698,826.761612
16,1990,2770.41,1396.76,3468.73,2690.4,2637.78,2277.32,2985.92,2405.15,5925.01,2070.44,1808.65,2117.16,2606.45,3392.83,3764.31,1448.69,2556.91,4798.47,4120.78,2286.51,1822.84,3592.96,3761.48,1800.11,2353.01,3557.95,3694.2,3143.43,2571.33,3565.98,2766.38,2069.87,1434.99,5304.22,2830.54,2635.62,1860.66,4275.72,4004.38,2372.58,2709.43,3230.47,2297.65,2042.94,2308.93,2924.19,3138.16,2913.87,2170.16,3686.03,2258.52,2167.28,4554.38,3375.22,3807.64,2094.81,2949.54,4461.57,1511.55,1393.8,2827.43,2718.02,2250.39,2999.2,3612.19,3117.87,2391.75,1805.55,3132.82,3849.08,3121.7,3086.99,2673.57,4255.51,3143.12,1856.85,1902.67,4805.85,2846.14,2275.23,4642.09,2496.8,3723.3,4848.99,3545.02,2781.65,2606.92,3995.42,2310.91,3786.99,3337.38,2870.51,1746.56,2866.53,2044.24,3933.72,2477.5,2958.66,1854.14,3005.95,2934.4828,920.7194217
17,1991,3177.14,1770.6,3377.29,3474.31,2611.73,2906.6,3611.98,2517.38,6256,2032.64,1775.87,2768.17,3069.15,3836.58,3679.33,1524.23,2343.78,4449.92,3285.34,2976.53,2587.35,5080.13,4102.43,1991.7,1827.48,3341.26,2581.03,2809.16,2332.67,3461.64,3122.45,2173.16,2001.16,5162.5,2431.05,2959.18,1700.94,4224.8,3822.57,2414.71,3307.16,3468.82,2262.01,2010.6,2789.76,2623.91,2834.1,2782.66,3158.34,3989.24,2387.22,2200.75,4512.14,3117.46,3376.02,2319.52,2402.05,3882.63,1828.92,2162.86,3321.27,2608.08,2563.81,3341.83,3321.49,3104.3,2046.74,1985.43,2879.95,3575.57,3684.62,3822.92,2582.16,5904.7,3348.35,2658.14,1867.73,4907.71,2386.93,2422.92,4539.49,2388.28,3752.13,5851.61,2838.88,2426.96,2795.15,3325.55,2845.02,3382.46,4818.78,2305.56,2361.91,3034.02,2245.19,3184.51,2904.99,2483.48,1645.77,3305.69,3037.5819,950.9043411
18,1992,3494.46,2116.02,3209.97,4160.4,3132.58,2975.04,4828.09,2702,5081.76,2581.48,2467.23,3383.87,4435.77,4128.43,4093.4,2253.09,2165.26,4462.9,2724.69,3014.11,2214.19,5416.37,3875.85,3201.92,1817.4,2985.68,2828.91,3925.97,2466.55,3690.06,3785.69,2548.33,2603.46,4874.95,2591.7,2757.51,2546.83,3955.29,3773.62,3017.45,3208.69,3375.29,2699.93,2839.02,3245.59,3028.41,3431.23,3466.84,3767.82,4306.94,2766.95,2636.67,4255.98,3068,3473.04,2410.06,2922.18,3816.83,2872.48,3454.03,3570.87,2573.15,3207.56,3457.09,3414.17,3850.72,3413.67,2904.19,2977.04,3601.65,3709.68,3643.36,3338.52,5638.76,3121.79,3147.43,2779.99,4674.58,2563.3,3597.22,4534.74,3421.36,4525.01,5489.21,3273.86,2178.32,4025.59,3031.89,2997.61,3431.97,4956.36,2986.06,3086.09,3689.73,2484.98,3660.24,2822.73,3204.8,3017.79,5240.68,3385.7802,802.458622
19,1993,2631.36,2950.67,3872.18,3033.07,2561.32,2601.73,4502.49,2445.85,3242.04,2105.09,2335.71,3309.14,3615.41,2980.77,3784.6,1801.82,2140.26,3497.16,2895.76,2702.07,1987.26,5444.12,3571.75,2924.53,2095.37,3312.41,2778.84,3210.72,2547.24,2783.91,3068.27,2408.56,2856.87,3683.14,2075.66,2794.52,2031.79,2802.21,3416.13,2956.14,2772.01,3176.93,2703.87,2595.03,2539.3,2308.1,3378.1,3616.67,2701.75,3456.68,2142.64,2434.98,3191.42,2697.6,3259.73,2678.19,3281.18,3172.73,2564.58,3337.28,3113.03,2520.98,2826.02,2616.53,2555.28,3086.94,3081.44,2470.07,2332.91,2834.28,2526.88,3396.86,2948.23,3900.06,2403.96,2855.22,2373.31,3920.81,2021.08,2846.2,3817.09,2494.22,3726.43,3995.98,3447.93,2455.52,3100.5,2805.38,2895.55,3253.95,3801.16,2742.87,2549.86,3242.19,2193.33,3209.76,2593.25,3119.18,3908.5,4738.74,2964.8819,616.5537949
20,1994,2321.92,2072.89,3464.24,2131.19,2275.89,2289.46,3642.63,2264.3,2431.13,2245.51,2541.3,3155.35,3041.67,2518.48,2787.29,1888.57,1995.34,2800.87,2845.12,2388.77,1950.03,4588.92,2810.72,2522.8,2505.96,2869.88,2475.31,2915.31,2156.62,2476.68,2161.71,2126.29,2797.35,2741.42,1847.25,2540.19,2154.46,2353.86,3060.68,2435.24,2300.57,2899.06,2216.07,2632.59,2195.04,2543.74,2820.35,2401.17,2390.92,2451.83,1620.85,2125.62,2452.63,1931.24,2158.77,2372.36,2654.65,2512.85,2462.2,3011.81,2661.34,2521.31,2307.54,2355.62,2251.18,2617.55,2479.94,2661.3,1912.3,2126.18,2185.12,2532.63,2854.85,2538.1,2700.21,2279.85,2218.11,2881.71,2069.58,2686.78,2839.46,2208.38,2784.45,2770.89,2731.45,2510.93,2361.21,2668.88,3029.71,2535.35,3056.37,2165.91,1969.21,2687.58,2156.56,2651.79,2428.61,2546.97,3019.53,4294.91,2530.0627,444.708378
21,1995,1468.66,1440.22,2318.17,1373.38,1468.55,1446.43,2347.88,1551.59,1672.86,1734.36,1970.24,2238.25,2003.28,1567.72,1852.53,1345.54,1341.67,1905.95,1952.53,1956.89,1337.54,3865.3,1936.74,1785.16,1953.17,1842.74,1796.58,2315.63,1625.17,1725.44,1450.88,1589.62,1855.75,1837.88,1293.21,1900.67,1658.58,1637.6,2529.5,1622.86,1450.61,1774.79,1565.77,1742.69,1344.31,1900.86,1960.59,1338.2,1750.46,1684.71,1114.32,1550.5,1577.37,1383.17,1590.74,1653.28,1817.32,1790.09,1684.11,2278.64,2032.71,1733.09,1490.98,1665.56,1582.01,1735.72,1651.64,1937.16,1291.57,1656.84,1722.86,1620.67,1972.78,1840.46,2023.11,1543.25,1833.9,1934.73,1527.09,1699.22,2054.41,1720.65,1976.65,1639.56,1738.56,1480.78,1898.43,2012.36,2317.62,1731.2,2126.86,1458.92,1514.67,2037.97,1569.39,1708.69,1654,1855.69,1803.5,3591.37,1778.5588,385.2915335
